时间,标题,链接,标签,公众号
1748586953,星燧联辉，绿野心声 | 健雄×开甲草地音乐节邀你共赴星光！,http://mp.weixin.qq.com/s?__biz=MzkwODQwMDEzNg==&mid=2247495081&idx=1&sn=c6991c6e39def4de2ca263c4348d5e17&chksm=c0c82ecef7bfa7d8cdf501f0b83fc9966ab37e0f08604843f64772c003314b8c645f7d6ebeb7#rd,0,南京大学健雄书院
1748498926,躬身湖畔悟真知 青春力行践初心 ——技科六班开展“一弯腰的哲学”环保主题实践活动,http://mp.weixin.qq.com/s?__biz=MzkwODQwMDEzNg==&mid=2247495061&idx=1&sn=58a70ec98279a8060be10ae841119a78&chksm=c0c82ef2f7bfa7e45ecc3d456f4b6238aca7697b771e93ce3692bc6514ce8e757f87f599b4ff#rd,0,南京大学健雄书院
1748485156,芯火燎原，焊接星轨 | “博采众长，积健为雄”对话健小雄专栏 ——任欣玥,http://mp.weixin.qq.com/s?__biz=MzkwODQwMDEzNg==&mid=2247495038&idx=1&sn=794589a041d78ed72bbfdc8767262695&chksm=c0c82e19f7bfa70f3961a3053e51e43d668f515e0c1a6b950e64fd30b61d71b921b26d9ad16c#rd,0,南京大学健雄书院
1748344760,红韵铸魂， “经”彩飞扬 ——健雄书院数字经济班与行知书院经济拔尖班举办联合团日活动,http://mp.weixin.qq.com/s?__biz=MzkwODQwMDEzNg==&mid=2247495014&idx=1&sn=e8a8742e8a090526f33132c363add54a&chksm=c0c82e01f7bfa717719459b3d41436b79e0601a8c032a29e921651c573cab841cf775d2dd7b9#rd,0,南京大学健雄书院
1748312760,南青奋进，实践挺膺——2024-2025学年“社会实践、实习进学院”系列活动健雄书院场活动总结,http://mp.weixin.qq.com/s?__biz=MzkwODQwMDEzNg==&mid=2247495012&idx=1&sn=5094f3b1edebd2deb204a90ea3a58eab&chksm=c0c82e03f7bfa715a08a2ad0f812f7dfc09542ec26e2db2c7a11325b6b004e391f9dc3331741#rd,0,南京大学健雄书院
1747969214,“雅舍新居” | 健雄书院第五期文明宿舍评选开始啦！,http://mp.weixin.qq.com/s?__biz=MzkwODQwMDEzNg==&mid=2247494932&idx=1&sn=7c65529dcf1aff6c2098130039b102a9&chksm=c0c82e73f7bfa76587cacce640459c24b7269d9e195444bf85b19c3f58276698ce797bdeabff#rd,0,南京大学健雄书院
1747876688,青春燃动赛场 | 软件×开甲×健雄联队勇夺青春活力大赛最佳团队奖,http://mp.weixin.qq.com/s?__biz=MzkwODQwMDEzNg==&mid=2247494931&idx=1&sn=d63f33e21133d6dc0b7b203eddbad312&chksm=c0c82e74f7bfa762cb305a759cfd5ac526d39191feabe7adeefce99dfa30883458171ec99346#rd,0,南京大学健雄书院
1747814779,知行合一，数创未来 | “博采众长，积健为雄”对话健小雄专栏——王博文,http://mp.weixin.qq.com/s?__biz=MzkwODQwMDEzNg==&mid=2247494925&idx=1&sn=906439b933c97efe9c337790f85af0e7&chksm=c0c82e6af7bfa77c6d3191ad2448f7f0259681de4eb4aea199023826500cb8997dfeaf081c0a#rd,0,南京大学健雄书院
1747639059,智驱前沿，软启新篇｜“博采众长，积健为雄”对话健小雄专栏——张艺博,http://mp.weixin.qq.com/s?__biz=MzkwODQwMDEzNg==&mid=2247494826&idx=1&sn=3a4d032e75183bf3c39798db4f9dc3ac&chksm=c0c82fcdf7bfa6db076b37e3eb1300e7ba290a1e025da748bad15a0b4b201a8ed08c819efea5#rd,0,南京大学健雄书院
1747231225,健雄书院关于“南京大学基层学生会组织优秀个人”拟推荐人选公示的通知,http://mp.weixin.qq.com/s?__biz=MzkwODQwMDEzNg==&mid=2247494809&idx=1&sn=5e72a4a90b0c88175e0a8609e38c5d6e&chksm=c0c82ffef7bfa6e89ec1aff5704b19b5054674b8896e6c426000c87d58dca6da73078983b097#rd,0,南京大学健雄书院
1746930973,南青奋进，实践挺膺——南京大学2024-2025学年社会实践、实习进学院活动健雄书院专场,http://mp.weixin.qq.com/s?__biz=MzkwODQwMDEzNg==&mid=2247494802&idx=1&sn=09ce9f9fd4cea44925028f72a170fac0&chksm=c0c82ff5f7bfa6e365c0f13cbfcf46256b1fce81e65273d347102d999ae3832c4141c0c9f28c#rd,0,南京大学健雄书院
