时间,标题,链接,标签,公众号
1748746822,星燧联辉，绿野心声 | 健雄×开甲草地音乐节邀你共赴星光！,http://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247520945&idx=1&sn=69c26188f209a17432803be028c31c13&chksm=c2c42907f5b3a011423d1b186c5f67487a1afaff3f01fd06c2b252b76a16a16098aee9e18e48#rd,0,南京大学开甲书院
1748655039,以梦为帆，开启新程 | 开甲书院举办2024级启程仪式,http://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247520939&idx=1&sn=79a188d52bc37a045d1ca8c0c8d1697c&chksm=c2c4291df5b3a00b734ef4c80ecc188c99ddfac3bdc728d94ed0370cb2be65fca3686e6323e4#rd,0,南京大学开甲书院
1748531611,即刻启动！南京大学首届新生创意大赛决赛路演等你来！,http://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247520902&idx=1&sn=4fea2dbd30aa7a758b6cb987dd5144f0&chksm=c2c42930f5b3a026afa1ece76bf506df5e569e44b63b95983ce04e660ddfeaec0197790363be#rd,0,南京大学开甲书院
1748359150,“智慧南大，奋进创新”南京大学首届新生创意大赛十强诞生！快来pick你心中的最佳团队吧！,http://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247520879&idx=1&sn=c9bb76816c99a9a264926953cf0d9211&chksm=c2c429d9f5b3a0cf3b753e79afdc3b1507211487b68b51de9ff7f00393a0e90dc00be998f38d#rd,0,南京大学开甲书院
1748267409,活动回顾丨校庆·星光集市开甲书院展台回顾,http://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247520853&idx=1&sn=875d57835184eae849f2dad2b0f9dbc7&chksm=c2c429e3f5b3a0f587ab1b2e3d8b91b4b63ae6c57747b78ca5344c32f530ea3d7742075fc705#rd,0,南京大学开甲书院
1748177139,马兰花开丨开甲书院致敬程开甲主题戏剧《礼物》在南京大学第三届新生戏剧节成功上演,http://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247520827&idx=1&sn=7a06a2b1b1152f57495267202d7ccb28&chksm=c2c4298df5b3a09b3bdbe43c5d85a35a8112bc565c47993aa7cdd10ef6f2654a85b4432113ee#rd,0,南京大学开甲书院
1747990959,南青奋进，实践挺膺丨南京大学2025年“社会实践、实习进学院”开甲书院专场顺利举办,http://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247520786&idx=1&sn=bcf0b339ccd7eaccd710b1c3658df362&chksm=c2c429a4f5b3a0b218a76ad925c4a1b9784ed4bd92f87bd03eefce8877193a1ca6419c78514d#rd,0,南京大学开甲书院
1747841119,青春燃动赛场 | 软件×开甲×健雄联队勇夺青春活力大赛最佳团队奖,http://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247520771&idx=1&sn=8a0c80e3b4b018da866ddd9ea3287002&chksm=c2c429b5f5b3a0a3613c444f3cf043858e6bf48b2b1e941b9d0ee8be6351ed361cc396aa368b#rd,0,南京大学开甲书院
1747738321,开甲书院“赓续华章，奋进新程”主题升旗仪式顺利举行,http://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247520768&idx=1&sn=fd7af476fd95678f5f9b3ddbca2bfc44&chksm=c2c429b6f5b3a0a01e2822149eda164ea8cee9ceacaff6a9259b4eb779c48aa24caad743599a#rd,0,南京大学开甲书院
1747489352,开甲书院健康活力文体活动日：保龄足球、扔沙包……一起找寻童年记忆碎片！,http://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247520743&idx=1&sn=c2216a2441c1c0537bec78f4e9e93570&chksm=c2c42a51f5b3a347e8475e6e49c40eeec9e0f8c42e631f6b512bb58b32366ac64eb9d59f749f#rd,0,南京大学开甲书院
1747364419,以劳立心传薪火，以智铸魂承匠心 | 开甲书院科学家精神大讲堂隆重开讲,http://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247520734&idx=1&sn=54a19d6e7dc975785e006cf47963e06d&chksm=c2c42a68f5b3a37ecdf5a15838f203ce8b4029e3c907ca40ddb1676c0384b2336ed697c2765f#rd,0,南京大学开甲书院
1747364419,挑战杯丨等你来战！第十九届“挑战杯”竞赛“人工智能+”专项赛发布,http://mp.weixin.qq.com/s?__biz=Mzk0MjE5MDI5Nw==&mid=2247520734&idx=2&sn=e07e3b8d0f9376c2f0eef07b52966124&chksm=c2c42a68f5b3a37eb29d27b439e32de8b157784b1db3bf174b82642b2e0b7df442c3c2bf35c2#rd,0,南京大学开甲书院
