时间,标题,链接,标签,公众号
1748948597,活动总结 | 光影流转颂百廿，青春挺膺启新篇——新生学院校庆主题活动圆满落幕,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247498658&idx=1&sn=f7f998dd3a34834a8e4b43648928f6f8&chksm=c0887c03f7fff51527d35469c24bc43696e0bc828cd771c1550907ce8f052b34f7dde9216715#rd,1,南京大学新生学院
1748608741,“南雍下午茶”第13期：成伯清教授与新生畅谈“智能化时代的安身立命”,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247498568&idx=1&sn=1ec511b1ad7bf44a8a77657d2ef2a31d&chksm=c0887ce9f7fff5fffee2b219eae4882d0858d871ad8b597ce31f96cdae1bc2bb129cbf6d8fe6#rd,0,南京大学新生学院
1748608741,新生风采 | 陈宣霖：笃行不怠，逐梦南雍,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247498568&idx=2&sn=239cf310742bf97365a8f3ce08fb80fe&chksm=c0887ce9f7fff5ff2f34311076f69746761375a1480bfcad6ec8ba81eb6a827feaa52d151ee2#rd,0,南京大学新生学院
1748518194,新生风采 | 张艺博：学思践悟，砥砺前行,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247498543&idx=1&sn=cb5ac887f6d5f905ac70890cfef8a13f&chksm=c0887c8ef7fff59889ea47e2b2f69eca6be3082b80d729d01f52bc7f9b72a5d4abcd8fac6ac5#rd,0,南京大学新生学院
1748433604,2025年春季学期期末考前两周学业辅导安排,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247498508&idx=1&sn=f8994426532a89fddd0943908cb46aae&chksm=c0887cadf7fff5bbb66d2446e54be0ab403d18554677c458938314f910c6c6130e0743069778#rd,0,南京大学新生学院
1748349215,新生学院宣传团队招募 | 执光影之笔，绘新生星轨,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247498491&idx=1&sn=3d904d743458ad07ab735c68a689f79f&chksm=c0887d5af7fff44c68afe69b9c12ed187658a7c76e7571c53fa34de3df4317b04475d255d38a#rd,0,南京大学新生学院
1748349215,新生风采丨雷业成：以青春之名，赴时代之约,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247498491&idx=2&sn=2a85c95e34c8cdd886b2a95c2d5c248b&chksm=c0887d5af7fff44ca9ff41c22f1721eb98b106417f81570c5fe57e52d05f6e7e1801c6866fc0#rd,0,南京大学新生学院
1748266717,溯光·执炬 | 2025南京大学第三届新生戏剧节第二、三场展演顺利结束,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247498461&idx=1&sn=2feaf461b7d6c4dafc4fc267f2a904d0&chksm=c0887d7cf7fff46ab0e2d420eea7e26aac48c9f38993dfe2952e98625d14e2c9c898fea078f0#rd,0,南京大学新生学院
1748266717,新生风采 | 王琳琳：等枝桠、成繁花,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247498461&idx=2&sn=ef06110de63fd7cdf4aa1038d89bfaf1&chksm=c0887d7cf7fff46ab79078879077d3b25e65aa76f91bb05fa54ee20da7c7ce783033d37409ac#rd,0,南京大学新生学院
1748125256,新生风采丨王家童：深耕数学之域，笃行求知之路,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247497710&idx=1&sn=4adfbaf5165a12108ad65e2e1b160fe7&chksm=c088704ff7fff95940e1924d74395000213e91d0210563e790221327e1733a123099f509a016#rd,0,南京大学新生学院
1748078386,报名通知 | 南京大学“敦煌文化”新生主题式通识科考与科研训练,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247497709&idx=1&sn=6d2648cd0b9aaebc075460b7008dc289&chksm=c088704cf7fff95a1cfa7ef0f0297f3712827b02bad13c3c7ce8c896f373ce415899697da25a#rd,0,南京大学新生学院
1748078386,新生风采丨袁熙妍：流水不争先，高山起微尘,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247497709&idx=2&sn=8930e9bc890afc5324b2b89160c0ce83&chksm=c088704cf7fff95a4feda39956304dc2c8f02ef8b19920cf389e01fdd7006f68fe38a54d5904#rd,0,南京大学新生学院
1748001976,新生风采 |李勇昊： 勇拓新程 昊宇驰风,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247497653&idx=1&sn=83ad2110fa89d98611dd351c8e59a1be&chksm=c0887014f7fff90220ee5d0b0c2bd4932fa4d79647dab595bec7fa7f8b55516932253e249f23#rd,0,南京大学新生学院
1747919619,新生学院行知书院党支部胡晓剑在南京大学第四届 学生党支部微党课大赛决赛中荣获一等奖,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247497604&idx=1&sn=e765629c1c73c4476ee71d6a62cd8187&chksm=c0887025f7fff9336cce778d9f31ff2e44f74b0986677f13f99471e4a927bb4146d167bee9ec#rd,0,南京大学新生学院
1747919619,123～教授请吃饭！共祝南京大学生日快乐！,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247497604&idx=2&sn=cdd00eeecbb848d717e07d7a6cb8d355&chksm=c0887025f7fff933582e9848728ac758236a0f964ce862bf33ba0602215e3a3215b2e6893516#rd,0,南京大学新生学院
1747919619,新生风采 | 郝殷嘉: 以行知合一之姿，绘青春奋斗画卷,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247497604&idx=3&sn=7712754bd63aba7092df43a0dafa8e3e&chksm=c0887025f7fff933b35bc8af409b9819e8cd7bd2b47c366b257c45ccc9aea6320394841efd42#rd,0,南京大学新生学院
1747824958,溯光·执炬 | 2025南京大学第三届新生戏剧节第二、三场展演即将到来！,http://mp.weixin.qq.com/s?__biz=MzkwNDE4ODYyMg==&mid=2247497549&idx=1&sn=9fd6fe0fd7c92818903aa8d6136a27c8&chksm=c08870ecf7fff9fa380101c90b7560b7d1dc2fc2a2aea760f8199d802057301cee3b0447818f#rd,0,南京大学新生学院
