时间,标题,链接,标签,公众号
1748568113,活动预告：追光而遇，沐光而行——南京大学有训书院2024级学生结业仪式,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507434&idx=1&sn=7c4bd4dee75a9bfcb759b67d1e1a0c7f&chksm=c2e7e460f5906d76d20668993b2c76f4f47b89b1e9260d493f7e1b88dc397b4f5a581323c9d8#rd,1,南京大学有训书院
1748443807,有训书院第二届“红梅出云”早期科研训练计划暨金种子项目立项说明会成功举办,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507382&idx=1&sn=b14c937b4f3e9c070d7699efa40bdeb5&chksm=c2e7e43cf5906d2a14655befde26deaf30741af5f7bd39918146ef959552152686bb405c1847#rd,1,南京大学有训书院
1748443807,数理巧思，光影探趣｜星光集市有训书院和数学学院展台回顾,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507382&idx=2&sn=9bc45acb85ff5004d2670b20ea793ed7&chksm=c2e7e43cf5906d2aca74baf5bcbd6f93cccc3809ef98201ed7bdc18ecc6429a4b04cc8be6189#rd,1,南京大学有训书院
1748443807,南京大学代表队荣获2025年中国大学生物理学术竞赛（华东赛区）团体特等奖,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507382&idx=3&sn=5d8e85ddbbf56585181823e6ec70ee85&chksm=c2e7e43cf5906d2a81398427b38b90977306cdeb49dc7dc6dee8c2adcf594dd53d191ea7e977#rd,1,南京大学有训书院
1748344308,橙色加油站第12站 | 文献与工具双驱，智启科研高效之路,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507249&idx=1&sn=530ed69be086f598eda2549de5ab565b&chksm=c2e7e4bbf5906dad0cae6f98e3d64b96c0f877f7f27d012fd08429b5f2136510641c04894ac1#rd,1,南京大学有训书院
1748344308,湖光识趣，青春同章——南京大学有训书院有成班、有为班玄武湖春游活动纪实,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507249&idx=2&sn=baf9b0c257b0305f09ebc952a9dbbd56&chksm=c2e7e4bbf5906dadb6dbeb4c097fec86aacc7d7dd47f91898f4e5aeb5d08c839f8ad61227e19#rd,1,南京大学有训书院
1748344308,学科专业节｜“红梅出云”早期科研训练计划：有勇班班长开讲——望远镜的基本原理与简单操作,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507249&idx=3&sn=b68097adf46b6b79bc27ba4a6dfe15b1&chksm=c2e7e4bbf5906dadd3679e80492d653e51629088884e09b679a735bc47e793a1b9831e9cbdd4#rd,1,南京大学有训书院
1748264087,青色戏剧团 | 有训书院《归去来兮》献礼校庆，再现吴有训的坚守与抉择,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507166&idx=1&sn=b66d23c74739ee385840f82f1160a62c&chksm=c2e7e554f5906c426cad6b4f821e505ef41d78018781f06e072ca71c845e35461ac2d5c9582e#rd,1,南京大学有训书院
1748264087,新生风采丨王家童：深耕数学之域，笃行求知之路,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507166&idx=2&sn=fe8607b3cdebcb7840dd4e5fab61550f&chksm=c2e7e554f5906c42b8ce515f485b8088a8db183c4f891413fb34a27f1e33f28c761882452a05#rd,1,南京大学有训书院
1748166802,关于公开选拔2025-2026学年南京大学有训书院“团学班宿”主席团、部长团的通知,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507119&idx=1&sn=4c1be72753184c3611e7d78fa62aac22&chksm=c2e7e525f5906c33e3946f1c6697f47c94e0ef55278783d0a0f955e7e36c41a203dcc688d9f5#rd,0,南京大学有训书院
1748009766,班团风采 | “南青奋进 实践挺膺”南京大学2025年社会实践、实习进学院系列活动走进行知书院、有训书院,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507085&idx=1&sn=6645bb5cfe52ed2dbbfa751d26423e77&chksm=c2e7e507f5906c11f1654224809751288da61ce48a9c9ee02b36c345f68b507ad2859c82602e#rd,0,南京大学有训书院
1748009766,讲座预告 | 全国大学生数学建模竞赛经验分享,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507085&idx=2&sn=6f90a2eb226c46e837f00f58dff12b23&chksm=c2e7e507f5906c111271b5adc3cdfead67369f279725d21ce323c0c9dc0f12637891f42f0da4#rd,0,南京大学有训书院
1748009766,第三届新生戏剧节丨有训书院《归去来兮》2025年度展演倒计时1天！,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507085&idx=3&sn=ae35b7eec6f5913e69f7a7aafa3f991d&chksm=c2e7e507f5906c11c7974f083ee7d02261efb264515f1ef8aac038d7ea88c30ce472d7ce5c08#rd,0,南京大学有训书院
1747926129,学科专业节｜数学学院、有训书院联合举办2024级数学拔尖班师生交流会,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507079&idx=1&sn=668ab60b9e07ce3d172c207782140089&chksm=c2e7e50df5906c1ba9f2b2c2a9407e0685483db615ea9d4ebf7eb0091d599a1b1569af37ced4#rd,0,南京大学有训书院
1747926129,“红梅出云”早期科研训练计划｜有训书院科研入门系列 数学拔尖学习研讨进行中,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507079&idx=2&sn=1d0fe23cf290aaa7fa4da317f7f84e85&chksm=c2e7e50df5906c1be41e1288f2009f081b7a13a1f4b806cf7cb95704b9ea183af58de8551ad4#rd,0,南京大学有训书院
1747926129,“益”卖倾情，爱心传递｜公益义卖暨心理健康嘉年华圆满结束,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507079&idx=3&sn=b10d259ef0e0bc29b8b3ff92aa5361df&chksm=c2e7e50df5906c1b64bdbc978cee912dcb1f70bfadd8f2ce36f33b0c65d2f2b6b7dcffa865b2#rd,0,南京大学有训书院
1747926129,第三届新生戏剧节丨有训书院《归去来兮》2025年度展演倒计时2天！,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247507079&idx=4&sn=a6141a2c4b9f1266e47eeffeb88b85cd&chksm=c2e7e50df5906c1b8ab287a2d4441a2053a70d3b9be0b627bc2eb8d7d08b15bf3fa7394b2cdb#rd,0,南京大学有训书院
1747839491,黄色竞技场｜心域象限·定向解码：有训书院趣味定向越野来袭,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506998&idx=1&sn=566094bfca04a61149c6f07177653585&chksm=c2e7e5bcf5906caaf97bdcbdbbbdeb110a26f7b8b0f089471fcecf5402dd0b7d74b5f169d84b#rd,0,南京大学有训书院
1747839491,第三届新生戏剧节丨有训书院《归去来兮》2025年度展演倒计时3天！,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506998&idx=2&sn=90c1a70aabafe71f927d2798dbcd9ea8&chksm=c2e7e5bcf5906caaf2ff0b7e971290872a3b1b271a12653be761a29d7e379755edb71fb4cea4#rd,0,南京大学有训书院
1747745407,第三届新生戏剧节丨有训书院《归去来兮》2025年度展演等你来！,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506925&idx=1&sn=26916ae10e42ac21976b4d312a7a144d&chksm=c2e7e267f5906b7133d9b5824d519579f25c1dfe000447547f09d1f3c8030282dc7589f577b3#rd,0,南京大学有训书院
1747745407,第三届新生戏剧节丨有训书院《归去来兮》2025年度展演预告,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506925&idx=2&sn=b30c68c7684a73b5c99b2f673663ec7b&chksm=c2e7e267f5906b71116f06fcef506bdce5fc78fa21a570e10a748eee239a8b5799780f49c1bf#rd,0,南京大学有训书院
1747668485,学科专业节 | 大气方向生涯指导专题班会暨分流指导会顺利开展,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506868&idx=1&sn=69f65dad85b96809b00961e9e5c42a3e&chksm=c2e7e23ef5906b2841bc043c8d446a692e7d814a51281109420b57ecf7a323d18ed5aaa08adf#rd,0,南京大学有训书院
1747582325,活动预告：“晚安短信”|“旋律入梦，情发南雍”,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506801&idx=1&sn=88f3c4857f2b327b9977151cf8d8c4c4&chksm=c2e7e2fbf5906bed8cb502afbf432e3c26b42a97e970c68a816b087c6cec758148c72006c444#rd,0,南京大学有训书院
1747582325,雨后竹林：学业支持｜汇聚智慧萤火，点亮期末舞台：期末答疑自习室,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506801&idx=2&sn=31ce462aa348c962edd86a7fc85ae06f&chksm=c2e7e2fbf5906bed7002756c196f3f38ba67792d4861b2dbcfbc92bcb6973a481eabf4f50b6f#rd,0,南京大学有训书院
1747404145,“心系有训，未来有约”| 有训书院盛夏集体生日会来啦！,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506673&idx=1&sn=c4b6c97537b3281b81257e07899c3ec0&chksm=c2e7e37bf5906a6d964b4077c97ba8d33ae654cda617783817e59fc0c3911f63d3d71f47de97#rd,0,南京大学有训书院
1747279116,有训书院关于“南京大学基层学生会优秀个人”拟推荐人选的公示,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506653&idx=1&sn=d83d647d70befdd43956464ff896725f&chksm=c2e7e357f5906a413240502d0a46833c72a8bb069fe590dfd87ce8b806ac78bf261375b98bb3#rd,0,南京大学有训书院
1747194015,南雍下午茶｜李向东教授与新生畅聊,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506644&idx=1&sn=3e0ab7371d1a5cc77dba1c99975d1e1d&chksm=c2e7e35ef5906a48faf0d9daf3f7ba9d8329612806186d303308630c03b47b6f3c52de862b34#rd,0,南京大学有训书院
1747194015,南雍下午茶｜精彩感言特辑,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506644&idx=2&sn=ef5a8f2b0013589b4fcc606bd545142f&chksm=c2e7e35ef5906a480458100fc7a9b2cc2294f6a89e1966f171eb70ca4f9227681d22619798f6#rd,0,南京大学有训书院
1747194015,南雍下午茶｜问答记录,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506644&idx=3&sn=1e70d9326eef62f90a86f913ae934bc1&chksm=c2e7e35ef5906a48b46d9f8a0b84f784de8a80d70c07bcd640027f745a3125d35e1ce2103d05#rd,0,南京大学有训书院
1746673284,学子风采｜“最强大脑”陶屹霄：在脑力战场与南大校园的逐梦之旅,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506565&idx=1&sn=bbf785c879e8cf9793277b6df139beec&chksm=c2e7e30ff5906a190f695a892b6d6557c5dc29b9675e7406f372fe026bf2fe4fffe7d8c2f88d#rd,0,南京大学有训书院
1746632570,小鼓小楼，南耕有你 | 科普种植劳动实践志愿者招募,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506564&idx=1&sn=c8ffe67459b80af88548a3f49094950b&chksm=c2e7e30ef5906a186545afc029788fee260fbf91466f3e6f08f78c3b7ea5ef27330737bf684e#rd,0,南京大学有训书院
1746545798,有训书院青年学子热议习近平总书记殷殷嘱托,http://mp.weixin.qq.com/s?__biz=Mzk0MDE5MTk3Mw==&mid=2247506563&idx=1&sn=67225f4ce01a04d3e63c528293130379&chksm=c2e7e309f5906a1f5e5ad3c2d76b537498d680b7ef6df5fc725678103919576c14ae0a3c948d#rd,0,南京大学有训书院
