时间,标题,链接,标签,公众号
1748100727,南青奋进，实践挺膺 | 毓琇书院励志讲堂第41期暨南京大学“社会实践、实习进学院”活动顺利举办,http://mp.weixin.qq.com/s?__biz=Mzg5MTU0NDIzOQ==&mid=2247501755&idx=1&sn=901276e662345c619406766070ca8b13&chksm=cfc9307bf8beb96d2d588cea35ac39ac9c505cec2dffd825c2ea134f579aa28bc75160193a38#rd,0,南京大学毓琇书院
1748006430,毓琇书院党支部、现代工学院教工一支部与华秦光声开展党建共建活动,http://mp.weixin.qq.com/s?__biz=Mzg5MTU0NDIzOQ==&mid=2247501725&idx=1&sn=dad18e41058fa41beb9c77be8f554dac&chksm=cfc9305df8beb94bfb66ef7a0e561c7644855bd72f32a708f29987699596971527a850b4cc3f#rd,0,南京大学毓琇书院
1747929148,“毓”见雅室，睦谊长青——毓琇书院2024学年第二学期宿舍卫生评比结果公示,http://mp.weixin.qq.com/s?__biz=Mzg5MTU0NDIzOQ==&mid=2247501711&idx=1&sn=53849087912f17b21a35831f75470681&chksm=cfc9304ff8beb959ce608e77fb87062d319d21e6c87cd240f613d64f120643395e168137eec2#rd,0,南京大学毓琇书院
1747837004,关于2025-2026学年南京大学毓琇书院团学联主席团换届竞选的通知,http://mp.weixin.qq.com/s?__biz=Mzg5MTU0NDIzOQ==&mid=2247501687&idx=1&sn=14a2505424170f3beb6533dbbd312e71&chksm=cfc930b7f8beb9a1f1a1256f748d7e25e1e19bb9a2f5db20b4ab034332a163b3ce010c659efd#rd,0,南京大学毓琇书院
1747724066,毓琇书院与湖南路街道未保站共建 | “智慧童年”科普实验课堂走进渊声巷小学,http://mp.weixin.qq.com/s?__biz=Mzg5MTU0NDIzOQ==&mid=2247501680&idx=1&sn=e2939bba9cdf80b977779ae2aa2a041b&chksm=cfc930b0f8beb9a670f39e84b25fa7d4d2eaea75ad7174d8cf2910fed5f5af22849e6ef672ff#rd,0,南京大学毓琇书院
1747654095,“毓”见不凡 “琇”出风采 | 毓琇书院代表队荣获南京大学第四届青春活力大赛“团体二等奖”“最佳人气奖”,http://mp.weixin.qq.com/s?__biz=Mzg5MTU0NDIzOQ==&mid=2247501661&idx=1&sn=360045063126a61e2a6dbeb76dfdee82&chksm=cfc9309df8beb98b6594bb984ec0ef0964c94bf357ff69e66828db6ea9a31e1dcfd6d70c3539#rd,0,南京大学毓琇书院
1747536967,毓琇书院朋导工作坊 | “从课堂学习到竞赛实践”——柏宇、朱妍月、张典分享实践经验,http://mp.weixin.qq.com/s?__biz=Mzg5MTU0NDIzOQ==&mid=2247501626&idx=1&sn=94eb3d1859ae4b923d1288631a3218dd&chksm=cfc930faf8beb9eca9b0d316e9678fd659ad7e4f97ee7d27a2d9404227c6f6a4e265e9c5e6bf#rd,0,南京大学毓琇书院
1747467013,毓琇书院启研工作坊第五期暨主题团日 | “破茧”信息素养讲师团分享“智探文献宝库 巧驭学术利器”,http://mp.weixin.qq.com/s?__biz=Mzg5MTU0NDIzOQ==&mid=2247501603&idx=1&sn=a9d099712c008a366251b42328c7d909&chksm=cfc930e3f8beb9f58452f1e0a6afc10245b4dede6740cfd2cc97b75ca24d6e6a2099f9358fec#rd,0,南京大学毓琇书院
1747402108,书院动态丨“毓琇乘风起 踏浪南雍行”毓琇书院2024级主题晚会圆满落幕,http://mp.weixin.qq.com/s?__biz=Mzg5MTU0NDIzOQ==&mid=2247501577&idx=1&sn=0d430ae8b41c80017c7114f3d21f013e&chksm=cfc930c9f8beb9df03f0b73aa819d386531bcb39c92be2929cdc79822c90659e29439c407fb2#rd,0,南京大学毓琇书院
1747323689,毓琇书院党支部与团员青年热议习近平总书记给谢依特小学戍边支教西部计划志愿者服务队队员的回信精神,http://mp.weixin.qq.com/s?__biz=Mzg5MTU0NDIzOQ==&mid=2247501542&idx=1&sn=6a430508cc2cf0fe62e751606e66a6a6&chksm=cfc93126f8beb830f18e52cc2f77d363584a7a68ad882f089767407e93e33181c9ea90e4084b#rd,0,南京大学毓琇书院
