时间,标题,链接,标签,公众号
1748851941,入党启蒙教育暨入党积极分子理论培训丨“不忘初心 牢记使命——中国共产党的百年奋斗史”专题党课顺利开展,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247520606&idx=1&sn=fad01bd6f9528d4698ca0257a384940a&chksm=c26c127ff51b9b69012b0b3c9e37c36ed77100603ac6bb60a9e6111500ece509b05cfff41914#rd,1,南京大学秉文书院
1748851941,青春活力大赛 | 秉文书院：青春因你倍有活力,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247520606&idx=2&sn=79e495ebe1666bf6a0f11dfc08c6fdce&chksm=c26c127ff51b9b69f856be3baf715e77f334cd086ed53dc624c7adf7171d1521c29c34816f52#rd,1,南京大学秉文书院
1748443908,忆初心故事，担时代使命丨秉文书院“我的初心故事”宣讲决赛圆满落幕,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247520475&idx=1&sn=8d78e123eeec02e7ebb4f1ce7b470e38&chksm=c26c13faf51b9aec42a2038399b9b13ab8625d2cb54ab1f20367573da8719e6635a0f9903a75#rd,0,南京大学秉文书院
1748324210,内建内训 | 美编摄影设计——秉文书院团学联第二次内建内训活动,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247520421&idx=1&sn=5491c6a268e076fbb3c0df051148e0bf&chksm=c26c1384f51b9a921aa4b17453199ee9cb3349551f79b8f91db824cf4cca11cd149a5ee96692#rd,0,南京大学秉文书院
1748324210,心心相印，编织温暖丨历史强基拔尖班团支部举办“五育润心，奋进同行”主题团日活动,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247520421&idx=2&sn=5af82161aa02c405253b5978feddd648&chksm=c26c1384f51b9a92a9a55f0e831eb1b12a2bcd44f1e8155c56626ee36d88e227397eb6073da1#rd,0,南京大学秉文书院
1748324210,秉墨安天下：秉文x安邦联谊会,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247520421&idx=3&sn=2921e34d7f4c8542c67b369856f80587&chksm=c26c1384f51b9a92dfcb0c04ad84114d4c5d37b94f425ea14e6063e30e736ab7b7d494aa8c0c#rd,0,南京大学秉文书院
1748053758,溯光·执炬丨2025南京大学第三届新生戏剧节之《鸿声》预告,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247520203&idx=1&sn=6a33aede3570fd88153f385031e7dd76&chksm=c26c0ceaf51b85fcb3d0f1326c88c9bf9a188ab0cd810f89d4bb07c6f1e8d688dd3836a62efd#rd,0,南京大学秉文书院
1748053758,活动预告 | 2025年春季学期“含英咀华，阅享午时”新生午餐读书会第七场旁听报名,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247520203&idx=2&sn=635800c85c97d7ca61ad1e71e571a0f5&chksm=c26c0ceaf51b85fc4d7e94829c1ed4ebb50a979e6fcd46f1a8ccd53be3d10d0b371213954345#rd,0,南京大学秉文书院
1748053758,秉文书院2025年春季早期科研方法训练营第三讲｜历史学院王睿恒副教授：历史语境下的英文史料研读,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247520203&idx=3&sn=264474bac043af2a0666909488f99f8d&chksm=c26c0ceaf51b85fc2bf9c3c2b38e40c18b64190cddd9cc55b89f23d00f9bbd0df74f4d39268b#rd,0,南京大学秉文书院
1747988898,活动回顾 | “秉心相伴，春暖花开” ——春季朋辈导师专项活动,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247519968&idx=1&sn=f7568a2453c9c03e6202dcbce723bb1a&chksm=c26c0dc1f51b84d7ec48a94e182b69b9fd0d14d83c7ba18200b8bd4dc414bc0d303d773dbed6#rd,0,南京大学秉文书院
1747795754,节气特辑 小满 | 子规声里雨如烟,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247519930&idx=1&sn=5938e0bc15384c70ac9e314ec3efa292&chksm=c26c0d9bf51b848dd82df4d43bc2a1657f8e1bc818b58039647f857cae2285f0f3da170c635b#rd,0,南京大学秉文书院
1747721081,回顾｜“从自我认知到集体共创”——秉文书院学生骨干心理团体辅导活动圆满举行,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247519918&idx=1&sn=c8a1dad06f4effbc43689d7390a2faa3&chksm=c26c0d8ff51b84996b9be485d3873a6af2260f0e917631fd7c95f9a0c4220aeaaf3de5b81d3a#rd,0,南京大学秉文书院
1747662739,“我的初心故事”系列主题宣讲 | 决赛预热来啦,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247519917&idx=1&sn=647f6775a46f4eacfa5446942ce2f094&chksm=c26c0d8cf51b849a378507008f0f9b168f10799b76bd124fd2a793ba586b52a1774266fc4240#rd,0,南京大学秉文书院
1747581862,初夏素拓 | 秉文运动盲盒奇遇记，等你来挑战！,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247519824&idx=1&sn=de766ed5a66ae5a6bc333b440a4daebe&chksm=c26c0d71f51b84673877781ba8f164650daecec9136920b863177d6a3e144723dd621f9b10b0#rd,0,南京大学秉文书院
1747470382,团聚秉文 | 秉文书院四月优秀团日活动展播,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247519619&idx=1&sn=a9bd0c642e3ff6f6e894604e44fb5ca7&chksm=c26c0ea2f51b87b43b923a280ffbaf72fdc08ba4c9d532c1d47206cd4f0b06bbc6372a279212#rd,0,南京大学秉文书院
1747470382,活动预告 | 2025年春季学期“含英咀华，阅享午时”新生午餐读书会第六场旁听报名,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247519619&idx=2&sn=b44bc0dfeb4317177e57fef5334a4ebd&chksm=c26c0ea2f51b87b443f789d861d972dfb24854cbb3781f8de6150345e69b841c2df654c8a4fc#rd,0,南京大学秉文书院
1747470382,秉文社区建设新气象 | “寓”见秉文，“宿”说青春——春季学期文明寝室评比活动顺利举办,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247519619&idx=3&sn=55352efbf7edcf5db328ea679b503f59&chksm=c26c0ea2f51b87b49aa7e58795b5556a39de25b8178053b9b12ebe7292cca3929b3c1722ba39#rd,0,南京大学秉文书院
1747218049,秉文书院关于“南京大学基层学生会组织优秀个人”拟推荐人选公示的通知,http://mp.weixin.qq.com/s?__biz=MzkzMTE5MDM1MA==&mid=2247519496&idx=1&sn=821317f6d16a9bc7945d8538a5de4d13&chksm=c26c0e29f51b873fe41f4c0320c42ab093ae4ade424cfe6f87481ee885eaa4fd60ab235c3815#rd,0,南京大学秉文书院
