时间,标题,链接,标签,公众号
1747567237,行知风采 | 行知书院学子参与第四届青春活力大赛斩获佳绩,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514265&idx=1&sn=d02b4edb29f27e610571a0c92c1be6cd&chksm=c03eaea2f74927b44455cedcd68689e8e9c21645c272152cf7d77c7f13a5f5f076dfabd95e27#rd,0,南京大学行知书院
1747311829,新生大讲堂 |【行知学堂第26期·院长课堂】赵曙明：数智化时代人才管理创新与发展,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514198&idx=1&sn=34374fe3c297a5021cfb272ab15a5724&chksm=c03eae6df749277bc6bd6c92c6a859270fe49586e94f97c31a602f03481a70d885205e5aa10b#rd,0,南京大学行知书院
1747233616,行路引航 |【新生导师工作动态】张力毅：法学新生成长之路 在交流与学习中探索前行,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514187&idx=1&sn=43832d15006f42176b58d3b168695629&chksm=c03eae70f74927669e43fa5351f3970bbdf70be1dc2adb24d64aad8f759012c21a5327a34a3a#rd,0,南京大学行知书院
1747144828,行知劳育 | 行知书院开展“艺启春日 非遗新生”第2期沙燕风筝手工制作活动,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514175&idx=1&sn=f7242a1198ee8f9526d52680a4e0be83&chksm=c03eae04f7492712da5de7cf72c13a926508461a16205e7eb36fa606aefc7278dcbb6207396b#rd,0,南京大学行知书院
1747144828,班团风采 | 2024级经管七班开展“诚信考试与防诈同行”主题班团活动,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514175&idx=2&sn=9d3873783d82dd6b34eb42a7674bd9d4&chksm=c03eae04f74927124b986d9aeceaa1fad03536b8c135e079a0617d22878d0565ecf52362a000#rd,0,南京大学行知书院
1746798184,金陵消夏录，南雍踏歌行 | 开甲×行知假面舞会邀你共赴夏夜浪漫！,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514152&idx=1&sn=9e42d117662f0fa580f4a8cb0704b74f&chksm=c03eae13f749270543db1300df68c7c2a6a02339f16d42a050703736e53a7596985a7f85c525#rd,0,南京大学行知书院
1746798184,活动预告 | 2025年春季学期“含英咀华，阅享午时”新生午餐读书会第五场旁听报名,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514152&idx=2&sn=b8edca039ea8387d72e7d2ed3bacb317&chksm=c03eae13f74927052ff988d8946ff8d430f6cca9ed6f8f1e0e741bf4ac403a90ed6409a82365#rd,0,南京大学行知书院
1746703820,行歌破晓，知海启航 | 行知书院2024级主题晚会邀你共赴星辰之约！,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514136&idx=1&sn=5454a2e1b7c464f7a65b9c8deb1f23d2&chksm=c03eae23f7492735a85ccd910284733e48e518f1bcf7d51daeddfb2bcea4e71fdfdf552e5999#rd,0,南京大学行知书院
1746623774,党团引领 | “共护知识产权，点亮创新未来”4·26世界知识产权日普法宣传活动回顾,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514123&idx=1&sn=0e42e4f469e8ba9393dcac11211aead9&chksm=c03eae30f7492726136718807b593978be0f4fe7b24b80ee29f46b2b1870a2ff1368463b3547#rd,0,南京大学行知书院
1746543023,行知实践 | 行知书院学子在世界读书日之际走进鲁迅园社区 以行知精神对话鲁迅精神,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514112&idx=1&sn=f8135fc7c06d66a5950167f516a90e6b&chksm=c03eae3bf749272d21af4a636ecb2e9504d849a6def854b76216deb0b821d470b14b3a053a32#rd,0,南京大学行知书院
1746543023,班团风采 | 2024级经济学拔尖班开展“新时代经济浪潮中的青年航标”主题团日活动,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514112&idx=2&sn=d7a40343054e8d1cb13f315fe133ef72&chksm=c03eae3bf749272d7efd8798d256594d28313e3a228dbb365639c308c790d079188beb5c63fe#rd,0,南京大学行知书院
1746360013,行知书院青年学子热议习近平总书记殷殷嘱托,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514078&idx=1&sn=45ba18f3aa20d862eff2efc71d9600bf&chksm=c03ea1e5f74928f3abc4a00766c0d5f17b66a898151badc863050c40db84d7f17cb9c4676909#rd,0,南京大学行知书院
1746360013,班团风采 | 2024级社科八班前往渡江胜利纪念馆开展“追忆英烈精神，传承红色基因”主题团日活动,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514078&idx=2&sn=c5563d96f0681343520a5076d0765ca4&chksm=c03ea1e5f74928f38bd5c588c29afd307a848e4bd929ad87161388cfd7ec621b23550d08ac0c#rd,0,南京大学行知书院
1745983242,党团引领 | 行知书院举办全民国家安全教育日主题系列活动,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514049&idx=1&sn=3dc7209285184d1725c5fc86130af12f&chksm=c03ea1faf74928ec90b716c9b9fb84d304a34d90a22985363dedb360f6fa3fc987e9b4c281b6#rd,0,南京大学行知书院
1745983242,班团风采 | 2024级经管二班举行“共筑国安防线，青春定向启航”主题班团活动,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514049&idx=2&sn=e9f49aea661f1d17607810e735a6775e&chksm=c03ea1faf74928eccd27e842d6156f7b5364fecb52c565089da24172a88ca16c8c73a66cfa7a#rd,0,南京大学行知书院
