时间,标题,链接,标签,公众号
1748100722,星成长 | “满天星”商知讲堂暨第十六届“工行杯”全国大学生金融科技创新大赛宣讲会,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247493004&idx=1&sn=afa75eabee70c82c5b07acc579d0ba3e&chksm=eaee0084dd998992830335cf31594b845852ebf40ea3baca99fd29da4f8c3ce2a62676d4096d#rd,0,南商满天星
1747986634,重磅 | 2025年南京大学第三十六届“银星杯”本科生学术论文竞赛颁奖典礼圆满落幕,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492985&idx=1&sn=b74393330f9e040056e8a8a4d10e4ba4&chksm=eaee0071dd998967bb4bcd652e6a9005f8f2a7946294ee439cc73c4bffd4119d105c015d920e#rd,0,南商满天星
1747651228,成员招募 | 2025年南京大学商学院满天星暑期实践调研团课题发布（第一批）,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492941&idx=1&sn=e34bd4b187e767176d94240c570e87dd&chksm=eaee0045dd99895307e985f06634011983e717cfb911edfccbff709b09eccbcbc4fe0a5e67a3#rd,0,南商满天星
1747536093,星成长 | 2025年南京大学第三十六届“银星杯”本科生学术论文竞赛决赛暨满天星学术研讨会成功举办,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492927&idx=1&sn=f76b90c3336ae0fd43c412d879d4529d&chksm=eaee0037dd9989217dee5e1cd157a26a281c799c2fdc85ec1d562f320392ea97839c55ea4c00#rd,0,南商满天星
1747208782,您有一份邀请函待开启 | 南京大学第三十六届＂银星杯＂本科生学术论文竞赛颁奖典礼重磅来袭！,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492730&idx=1&sn=867e4c090762fcca50d81d9dc9a59d6d&chksm=eaee0172dd998864713ff2b2b49a85028a3b9f1fb69883429f463481dcab7a773d111ea8bdc6#rd,0,南商满天星
1746880149,星成长 | 满天星商知讲堂——从数据到AI：量化金融的实践讲座回顾,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492705&idx=1&sn=6b31ee6999ea28469c859d0490cba7f9&chksm=eaee0169dd99887fc6d2d75d83206663510bfc47f53785a29f235e9f91b796aa814c6576852a#rd,0,南商满天星
1746757407,赛事推介 | 中国国际大学生创新大赛（2025）南京大学校赛报名开启！,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492689&idx=1&sn=ba27b78eda6dfafc45110daab558a5b6&chksm=eaee0159dd99884fa916cbfeb359b17884ccf17a5d9c4dbd780ae30958d35d1ca040cb5d6df7#rd,0,南商满天星
1746666760,第三十六届“银星杯”本科生学术论文竞赛决赛暨满天星学术研讨会重磅来袭,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492682&idx=1&sn=0c7a42a55dda9ff6d2ee044f7019839e&chksm=eaee0142dd998854af1e9cf40d70fbd9e05ade81bfe7a5094830e5ae63e2d509093435c83e92#rd,0,南商满天星
1746453992,关于第三十六届“银星杯”本科生学术论文竞赛评审结果的公告,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492629&idx=1&sn=6b1a9da29b6680a52d1456c5c0c1f633&chksm=eaee011ddd99880b089256465882d87114ca68b6fec5f6c17a0d360f6d0693aed22ea7feee32#rd,0,南商满天星
1745931428,星成长丨满天星商知讲堂——从数据到AI：量化金融的实践,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492480&idx=1&sn=21ceb2ecb059998484ed281e22780683&chksm=eaee0688dd998f9e874581d88c47c1fc2ec997bca37ca6fee876fb13f7b3180064adbd0a781d#rd,0,南商满天星
1745829833,赛事推介 | 2025 年第二届江苏省高校“丝路电商”创新挑战赛,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492449&idx=1&sn=35e4a0ce74da2fb4ecc2a5f716a4ea06&chksm=eaee0669dd998f7f3f5c4435861cb59e936df39112fd7d841ba055727a88b9be5fa9778998cd#rd,0,南商满天星
1745744341,重磅启动 | 2025南京大学商学院满天星实践调研团选题征集,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492447&idx=1&sn=053e4db72ad8a50323d4623ee23bf217&chksm=eaee0657dd998f41ece373baa016e039c95459168f17046737d44bea0ac11c805f5862e93ad3#rd,0,南商满天星
1745565423,重磅招募｜南京大学商学院2025年马来西亚“一带一路”经济科考团报名开启！,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492408&idx=1&sn=f714ee510ef2f5718142313656823204&chksm=eaee0630dd998f2636101d31ade3a2403abc8ee4ff63527fa0e38499b89de77dd6b2b6f2c0eb#rd,0,南商满天星
1744524919,赛事推介 | 第四届安永x高顿教育ESG大学生创新挑战赛报名启动！,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492394&idx=1&sn=15f6ee89155ea518e311fd04577de51d&chksm=eaee0622dd998f3491ed3e3e67a7eda37ce374198094ee659363b74d75c640d24cf8eb5903ab#rd,0,南商满天星
1744383465,星成长 | “满天星学术银星训练营”第五期——提升学术论文质量的方法与技巧分享会回顾,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492393&idx=1&sn=89b613329321c565e40ec188596b0836&chksm=eaee0621dd998f377224d08891892e85fedb880feb000c733638b9903ca12f67e53046d34109#rd,0,南商满天星
1744204863,商赛推介 | 2025年第七届远东创新竞赛震撼来袭！,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492364&idx=1&sn=30eab6090e535b4d668d7a620f8fe9db&chksm=eaee0604dd998f12d5429b486fa30fb1ec16ff8c95639958692c732052f0097debe3bff0b739#rd,0,南商满天星
1743953282,星成长丨满天星学术银星训练营第五期——提升学术论文质量的方法与技巧,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492342&idx=1&sn=ca16383f158d4ee95aea52f69f3bc2dd&chksm=eaee07fedd998ee84c07b15d8255babe5bf4bf641a09a7b09161cb57c1494b44fa4bd4a495f2#rd,0,南商满天星
1743563215,星成长 | 满天星学术银星训练营第四期——学术论文研究方法论导航与参赛经验分享会（管理方向专场）回顾,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492331&idx=1&sn=c4380039378d9812dc0c8a879ff70296&chksm=eaee07e3dd998ef5117203f4b85991232fdf62cb3bfbaa1b5d0584bc131789abcb17670bb0dc#rd,0,南商满天星
1743436178,重磅 | 南京大学直通2025汇丰商业案例大赛亚太区总决赛——参赛团队开启招募！,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492319&idx=1&sn=e25edfea2878ba04c110efb379156de6&chksm=eaee07d7dd998ec1c2cc11f17eff7c3a6d17d2cef6c8379ce91a039f1fad33deb8841edc6001#rd,0,南商满天星
1743073467,星成长丨满天星学术银星训练营第四期报名启动！,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492256&idx=1&sn=042b33f150ead685d61ffe60703a0ca9&chksm=eaee07a8dd998ebe8789290d5e86643958a2e72551354669ede3e78d8d153fb5b29651b09a7b#rd,0,南商满天星
1742728777,星成长丨满天星学术银星训练营第三期报名启动！,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492246&idx=1&sn=9bbb4557d0c76c56cd458bd8ec5f5db7&chksm=eaee079edd998e88ddfb7304cb12d89f1c091ad675e5d8d44cb76e8894967209264d74365ea8#rd,0,南商满天星
1742517323,"转载 | 商赛来袭：""第三十一届康腾大学生商业案例分析大赛开启，实战练兵场已加载99%......""",http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492222&idx=1&sn=a8065fae056d1e72ef0a6208b1095888&chksm=eaee0776dd998e608c79a4fbc009c4a1d135f96362e6f19c94fc1597a7c4e9cda0516548bcff#rd,0,南商满天星
1742468858,星成长 | 满天星学术银星训练营第二期——学术论文研究方法论导航与参赛经验分享会（经济方向专场）回顾,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492218&idx=1&sn=2cc7f412b708afcbefe348dbc4cc05c1&chksm=eaee0772dd998e64fc7b61beeb102ad2df53f5902bc0727fae97af2def14125b79e70f3a9ac9#rd,0,南商满天星
1742045239,星成长丨满天星学术银星训练营第二期报名启动！,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492201&idx=1&sn=160ac5ce579cd37c86fe339bfc9efda1&chksm=eaee0761dd998e77dd5ff75e2d72576d229bef9df9c6bc0b511955431814cc773fdf2b2a0b06#rd,0,南商满天星
1741929557,星成长 | “满天星”学术讲堂——两会精神与经济形势分析专题讲座成功举办,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492188&idx=1&sn=8a0de06d5eac18e8afea02fbb2afcf9b&chksm=eaee0754dd998e42a1ae60650e034c5af647b4b7625bf125a704b4987e76e3a53db487a70d1f#rd,0,南商满天星
1741616886,星成长丨满天星学术讲堂——两会精神与经济形势分析专题讲座,http://mp.weixin.qq.com/s?__biz=MzI2ODYyOTA5NQ==&mid=2247492169&idx=1&sn=521c615f9232eb44ee77cb1d4d77755d&chksm=eaee0741dd998e57aaf3fb0796ef05db592b62c986864d9fa9cb808d5792eb1b752809890918#rd,0,南商满天星
