时间,标题,链接,标签,公众号
1748528053,创造历史，勇夺全国季军！南京大学男篮闪耀第 27 届中国大学生篮球二级联赛全国总决赛,http://mp.weixin.qq.com/s?__biz=MzI2ODcyNTU2OQ==&mid=2247488872&idx=1&sn=8fac1f6c02642a6098d9a53b4b046ec3&chksm=eaea6946dd9de050327c49afa7d4687a28a8dcd52965632a2f498046bf3556ca0ed5f61e3f29#rd,0,南大体育
1748223700,浪花激扬，挥洒青春！南京大学第三届水上趣味运动会圆满落幕,http://mp.weixin.qq.com/s?__biz=MzI2ODcyNTU2OQ==&mid=2247488870&idx=1&sn=11eaec3745e4bcd5b0da9853535cef24&chksm=eaea6948dd9de05e5f1e34a21013f5cbb9b8f537960b527b3e5233793b8e4891d30e56abe038#rd,0,南大体育
1747443865,报名|浪花跃动青春，碧波激扬奋进——南京大学第三届水上趣味运动会等你来参加！,http://mp.weixin.qq.com/s?__biz=MzI2ODcyNTU2OQ==&mid=2247488806&idx=1&sn=a7de4b10f64354eb5d8300beb3dc10c1&chksm=eaea6908dd9de01e4f76fa9d4b5fbda4820d10882d8861d4400d9bd6dd2ec26fd39db3b3385b#rd,0,南大体育
1747366915,就在明天！南京大学第四届青春活力大赛，邀你共赴青春之约！,http://mp.weixin.qq.com/s?__biz=MzI2ODcyNTU2OQ==&mid=2247488775&idx=1&sn=035bfda4239f79fef9f88ffb2bf79b08&chksm=eaea6929dd9de03fff41d359afd1c3fb4a4570751fa692dda99afaa95ea6022e658ac5b1281c#rd,0,南大体育
1745665204,“鲸”彩飞旋！南京大学高校飞盘交流赛，“盘”出青年热血与校际情谊！,http://mp.weixin.qq.com/s?__biz=MzI2ODcyNTU2OQ==&mid=2247488762&idx=1&sn=02c4136f0b454de619b31494f06348fe&chksm=eaea68d4dd9de1c22a0e6676ca412df4fd549902125bee0ba1a527453a342f3517b6fa681ca4#rd,0,南大体育
1744700851,世界冠军来助阵！南京大学第二届毽球趣味赛周末开赛，速来参加！,http://mp.weixin.qq.com/s?__biz=MzI2ODcyNTU2OQ==&mid=2247488760&idx=1&sn=1419849dc5f2c4764f5b9c87d5a4371f&chksm=eaea68d6dd9de1c081c477fed51bb4a604b0230561eb1ca783e5a9d8e1c20da05983cb43efa2#rd,0,南大体育
1744548930,"当搏击操邂逅太极拳：这届体育月把""文武双全""玩明白了🤩",http://mp.weixin.qq.com/s?__biz=MzI2ODcyNTU2OQ==&mid=2247488677&idx=1&sn=9338daa545088262b55175c9c46f66ac&chksm=eaea688bdd9de19dd7cd76b47ef7f42bba9f368f8502d1230f16d10f83eb47775b01ddb0f9be#rd,0,南大体育
1744160445,“南雍寻踪” 南京大学春季定向赛暨南京高校定向邀请赛即将启动！,http://mp.weixin.qq.com/s?__biz=MzI2ODcyNTU2OQ==&mid=2247488675&idx=1&sn=f4e6f86fd6560c17d0ae79e971d3ba56&chksm=eaea688ddd9de19b5f84c637f2d271f116aec753aa0f1343aebf18e34af62703a9fe871178fd#rd,0,南大体育
1744002817,【活动报名】鲸跃南雍，竞逐风华|南京大学体育月第一波预告来袭,http://mp.weixin.qq.com/s?__biz=MzI2ODcyNTU2OQ==&mid=2247488673&idx=1&sn=18e0a9acb9c0137a234d28a4c5e70f7e&chksm=eaea688fdd9de1995c0e3be35d0a99e2637e7ff0c4613ce4c1c18246229204828a34b3fbbc2c#rd,0,南大体育
1743509371,鲸跃南雍，竞逐风华丨南京大学体育月期待每一个大显身手的你,http://mp.weixin.qq.com/s?__biz=MzI2ODcyNTU2OQ==&mid=2247488662&idx=1&sn=4a99b7477da3debac053a0d107fe50a6&chksm=eaea68b8dd9de1ae34eee1f3bdbcb22825b9f5e62d632674934ad51b201ee5c65d285b21f5df#rd,0,南大体育
