时间,标题,链接,标签,公众号
1749000739,国际访问学者｜Spatial Processes and Effects of Tourist Flows,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535510&idx=1&sn=40360c8a5c32ae7d4b79e07e3c6926cb&chksm=9ae7f164ad907872deb9f03a0f30b5c808bff279254f5a0aea2185d1e2133dcde4da4d641b0c#rd,1,南大全球交流
1749000739,转载丨2025中国留学论坛主论坛嘉宾发言集锦,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535510&idx=2&sn=e60d34f62d36bb3c77c0adc5715a1123&chksm=9ae7f164ad90787231b09ed2de5766ffdb2f330091822ef1e4c2ff4b770e96283340ada7ab9a#rd,1,南大全球交流
1748919664,国际访问学者｜系列讲座预告：银行信贷行为的新视角：跨资产风险与绿色激励,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535494&idx=1&sn=21c5aa532b503fa6d324589a78f3d4e9&chksm=9ae7f174ad907862045f265189eee68ddbb8b1bb5a2844517b2862856e97a8c544bb695716c9#rd,0,南大全球交流
1748833130,国际访问学者｜讲座预告：联邦学习的可复现性研究,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535492&idx=1&sn=ff4430ac40fecbaeb2b43d1be0d9d2d8&chksm=9ae7f176ad9078601947c9b44e8b6bf7b7060de0d3ca21ce2a6509418b94380497a6a38a2393#rd,0,南大全球交流
1748655484,林郑月娥女士访问南京大学苏州校区,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535489&idx=1&sn=286a0c21a6d1b1d521832062c77b7c3c&chksm=9ae7f173ad9078653fe45a975c4b263714e6353aa8a310f01e9aaf074190c7f625c0e2f13ab5#rd,0,南大全球交流
1748655484,院系风采丨南京大学与罗马第二大学启动中意数学联合教学项目——顶尖学者驻校授课助力国际化人才培养,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535489&idx=2&sn=8c6d12a472c712bd3249138851d075e0&chksm=9ae7f173ad90786591ccc7833cdd98b2efb749c7397f83995002abb6bc366ba2355c58a58892#rd,0,南大全球交流
1748570278,深化“一带一路”科教合作——谭铁牛书记率团访问孟加拉国和泰国,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535475&idx=1&sn=525e7048f624e19c5ac52d2b04483f9d&chksm=9ae7f181ad9078972491e507676b15321165e0b999d72c540e19f34634ce1eb723f7c7729dc0#rd,0,南大全球交流
1748570278,校领导会见泰国高等教育科研与创新部部长顾问佩达瓦·多米娜,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535475&idx=2&sn=be58dd92d2cad037ca0af2538c3711b2&chksm=9ae7f181ad9078975678a2a02dd4028faa4d4ae474874b926cb80f34b858fc37246316893cd7#rd,0,南大全球交流
1748501480,国际参与力提升丨活动报名：Nature Portfolio国际科学传播交流会,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535455&idx=1&sn=5830686355d3adf387cb4a51820bc2ae&chksm=9ae7f1adad9078bb1a9dcfa2c06316b56908975a06114e1d0611aee86f37c34167bdb6df8915#rd,0,南大全球交流
1748333051,校领导会见里昂第三大学副校长 共商人文社科领域合作,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535418&idx=1&sn=16abf36011318efc8f0cbd5f6be8f1ef&chksm=9ae7f1c8ad9078de2a5da9165048767b02b6c73d42ebf94e7bdbe6653f202f9b640558b9b988#rd,0,南大全球交流
1748244582,院系风采 | 政府管理学院：行管专业本科国际化课程《项目管理》师生赴佘村开展实践教学,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535417&idx=1&sn=5d744b3d63866761c2497a54e35c55ff&chksm=9ae7f1cbad9078ddd554e0f81c4c3b50e02e81ccdd263f6ec820650d7c22544b60d48059c9de#rd,0,南大全球交流
1748244582,国际访问学者｜讲座预告：社会学系列讲座,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535417&idx=2&sn=36060f4f7072169bee2b54a6679751f8&chksm=9ae7f1cbad9078dd3b453cf290bb8f21d1f4e9054441299e20621a2629401e888d586420d401#rd,0,南大全球交流
1748166088,国际参与力提升｜哈佛燕京学社访问学者项目南大专场线下宣讲会,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535388&idx=1&sn=22fc81033ea524e78b59168b17a3f2fd&chksm=9ae7f1eead9078f899094319f8b35aead53f5f02cbe0b3eb2b8e136a113efd6732ec012206ab#rd,0,南大全球交流
1748166088,国际访问学者｜讲座预告：德语语言学系列讲座,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535388&idx=2&sn=e5c5e082a01dc36ba1d36ebbd551424f&chksm=9ae7f1eead9078f8f22678d4587f377f4ac37249058733cd62d0b3c47d81e9089284f0015c95#rd,0,南大全球交流
1747903309,校领导会见加纳全国民主大会主席恩凯提亚一行,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535369&idx=1&sn=981f48dec27ef133493935f0ccb05510&chksm=9ae7f1fbad9078edba680a408c3210127ffb95a15299e13c622f7b8a2907624237fc02b5fe38#rd,0,南大全球交流
1747903309,国际访问学者｜潘菽心理学论坛第九十六期,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535369&idx=2&sn=91506aafd2222f296f714a8af8476745&chksm=9ae7f1fbad9078edf36d181848be99c4f738b344685235b9af58e17080d270ffaa5f4d1d9d1f#rd,0,南大全球交流
1747793352,中国科学院学部第十届科学教育国际论坛在南京大学召开,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535351&idx=1&sn=b5d20703a92b8c1bb080706c0bc36ee6&chksm=9ae7f005ad907913550bb29ad87301ae74c210a643302ba438bc169654fde1e426a7381dbdb5#rd,0,南大全球交流
1747793352,国际访问学者｜讲座预告：以大学第三使命推动人工智能与机器人技术发展,http://mp.weixin.qq.com/s?__biz=MzAwMDYzNDc4MQ==&mid=2247535351&idx=2&sn=c8c927f4a43a4e3ea1a27a2aa287d402&chksm=9ae7f005ad907913659c1a4e89abfda81c4cd46ab14aee42fa4048eb360c59fd9b0934254bc3#rd,0,南大全球交流
