时间,标题,链接,标签,公众号
1747991939,2025年秋季学期南京大学学生赴台港澳地区交换项目行前培训会圆满举办,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650896215&idx=1&sn=e9704217a0e95de77964c5c88d6878ff&chksm=84b853e2b3cfdaf44044c213730ea5aba1b3fb999a6242ea9b3da37e3c6061c6b2582e91cd6a#rd,1,南大港澳台交流
1747991939,通知 | 关于申报2025年“黄廷方·法学奖学金”的通知,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650896215&idx=2&sn=392d46c7e6f681fc73a327d36283e0be&chksm=84b853e2b3cfdaf4a9fb461260c2f2d1c7ad9efb439d663c99cd1ecbf54efa28944ccad2f63b#rd,1,南大港澳台交流
1747753236,活动报名 | “携手逐梦 青春同心”台港澳青年端午访学活动,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650896194&idx=1&sn=533b8db3e075c3d17872dee63a65d1f4&chksm=84b853f7b3cfdae10927d33cbe35a5829afb5cf7e66f0fa3192c26ceafb4903b33fa57b5c688#rd,1,南大港澳台交流
1747366449,2025年港澳台大学生暑期实习活动启动报名,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650896156&idx=1&sn=2c35888d5de53ebf89facdb44f262498&chksm=84b853a9b3cfdabf506e497b60fa4a7a22f4bf26059cc7a7a5edfca6b1647b39b8d72b754984#rd,1,南大港澳台交流
1747216443,活动报名 | 2025年栖霞区第六届港澳台青年端午趣味运动会,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650896120&idx=1&sn=4f6cfba66a25c8c44eb9c8f46ca8106c&chksm=84b8524db3cfdb5bf8303af46478275108647a1c4dafd909b1ea082530a79b12d29b69b46733#rd,1,南大港澳台交流
1747216443,项目推介 | 香港城市大学研究生学位项目招生宣讲会,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650896120&idx=2&sn=2e9536787cc52be13bed5fe8398f4ae8&chksm=84b8524db3cfdb5b1cba9f62af3ddac3504e2e54d83ea1ead16bd8aac5f58037294749e662e2#rd,1,南大港澳台交流
1746797107,AI无界 苏港同行,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895993&idx=1&sn=7e530538ff5d7b119c1b89d216b79330&chksm=84b852ccb3cfdbda507083f7e9224465bd2d856dfc8eb6fce5353a54721f74f4367b6a5d4f9e#rd,1,南大港澳台交流
1746797107,名单公示 | “青春奋进，溯源寻根”——南京大学台湾青年齐鲁文化寻根之旅,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895993&idx=2&sn=7bf1a00a288e1041c122328f9d5f10f0&chksm=84b852ccb3cfdbdafce188c6fe17277fc3ec85b7660199792b63119e42ad8fe03e6f0b7e52a0#rd,1,南大港澳台交流
1746072496,活动报名 | “青春筑梦想 科技创辉煌” 港澳台学生主题征文活动,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895964&idx=1&sn=8efdb633c336de8f64d8fbdb2dafb318&chksm=84b852e9b3cfdbff801ce2a0700bd88bd84438178af5ac3b214b733e83f9bcabadbfcbbfa7fe#rd,1,南大港澳台交流
1745922504,活动报名 |“青春奋进，溯源寻根”——南京大学台湾青年齐鲁文化寻根之旅,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895944&idx=1&sn=e54b23c5fe1a2704ab28499e96589939&chksm=84b852fdb3cfdbeb0504aefc2c1629956090ad03dc6a7a8e9574e143b8ba5d4ae0cb096688ad#rd,1,南大港澳台交流
1745850929,公示 | 2025香港中文大学暑期学院入围名单,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895902&idx=1&sn=2773aa70914a5238a2c81138aa39227e&chksm=84b852abb3cfdbbd0d1b9f3cc5a348d7f31f320a4db13b7b243eb6b06651d738b5ef054d4bd6#rd,1,南大港澳台交流
1744978407,深化苏港合作 推进开放办学 | 校领导率团赴香港访问,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895859&idx=1&sn=85d67b8c58246ccf33a7d09d9dd4a225&chksm=84b85146b3cfd8504d354aa1519d671bece7d082afea94a70caf70ec000cf5439783c800a341#rd,1,南大港澳台交流
1744461185,公示 | 2025中国文化大学暑期项目入围名单,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895851&idx=1&sn=78b204ae8b41d1af68bcb7af307c9d53&chksm=84b8515eb3cfd8488936dc6ff56bfc3a66e7a4f1be19204394b1ff5ec019f335def61080e9a0#rd,1,南大港澳台交流
1744351429,活动报名 | “江苏·台湾周”开幕式报名,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895826&idx=1&sn=fe26ce24c46c832d75b3e2c4ff4825ff&chksm=84b85167b3cfd871cc2a3cf7eca3bbe1b98e26f1d51aa9883d6f2a82a840c8bb26a738293cc4#rd,1,南大港澳台交流
1744351429,暑期项目 | 2025香港中文大学暑期学院报名,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895826&idx=2&sn=42290f7ef753c83f2d9605cd78063326&chksm=84b85167b3cfd871ad8eb049e52564ef1be36832a10db48991372ed6f640deda9224bf989eeb#rd,1,南大港澳台交流
1743683033,公示 | 2025澳门大学优秀学生夏令营入围名单,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895696&idx=1&sn=6b4e6f8bb81e56c25d4ed160649a86e5&chksm=84b851e5b3cfd8f32eb31a5bb33062d84a7dd16bc8d632f3566e397810b3ff49199296a2cab2#rd,1,南大港澳台交流
1743132334,谭铁牛书记会见香港产学研合作促进会代表团一行,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895679&idx=1&sn=5ec31f9b0248fa79616f99432be48bb2&chksm=84b8518ab3cfd89c13506631c39cfdedbc8a1dab0b9263f87c07ebafc9cf04029a6d47506332#rd,1,南大港澳台交流
1742910764,香港公务员总工会代表团来校访问,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895651&idx=1&sn=64d3da226c06b5577ffe324dfd170691&chksm=84b85196b3cfd8800eed731b417d462d0bba6bd9e0904621b8532ab8225f58618b3bd0f56468#rd,1,南大港澳台交流
1742703510,暑期项目 | 2025年澳门大学合作院校优秀学生夏令营,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895633&idx=1&sn=80974e589bc5f7eb1dfe70f415384ba0&chksm=84b851a4b3cfd8b2080b76117eab840ccd6abeb67dbd542a958a4f428d86c8f0b847b6df97eb#rd,1,南大港澳台交流
1742703510,公示│2025澳门大学科技学院项目公示,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895633&idx=2&sn=dc2d0192975a13f5afd5ec410f28ed7a&chksm=84b851a4b3cfd8b26305cf637b8486f5984620ddde910333892953667066b8456aae3e1f9abc#rd,1,南大港澳台交流
1742703510,公示｜2025年东吴大学暑期项目入围名单,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895633&idx=3&sn=85ea7e8d56165072d22c8b43bdb604d3&chksm=84b851a4b3cfd8b21e31e10b6defb8d1d99a73c8766297cc8a46cd18ab075bec8925ed792458#rd,1,南大港澳台交流
1742378172,暑期项目｜中国文化大学2025年暑期ESG研学班,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895590&idx=1&sn=0671bbb9fcc799dd714b34ca1309c9b4&chksm=84b85053b3cfd945cf0cf41d641b5c30dbf973958c8d3d46b4cb139000e45010532e85cb9c28#rd,1,南大港澳台交流
1742378172,公示 | 2025年政治大学暑期项目入围名单,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895590&idx=2&sn=597040ad209f05363b3960fcd6a3f5db&chksm=84b85053b3cfd945fb7a38d79e070ee9222655166c97a782194cc1e5aa82dccea60687116af4#rd,1,南大港澳台交流
1741874876,项目推介 | 香港城市大学商学院硕士课程校园宣讲会,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895541&idx=1&sn=b60afbe7cbf85d7336de43b5377081e8&chksm=84b85000b3cfd91675ecd9072c8d227b2e47e3a737211d432acc059885ae2e2ed0a2e55d55f6#rd,1,南大港澳台交流
1741874876,项目推介 | 2025秋赴台湾地区31所高校拟派出交流项目合集（研究生部分）,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895541&idx=2&sn=879b912c60fb10b0f1c0e154f85c21b8&chksm=84b85000b3cfd9160f84974cf2d851745544fdc68d0a5fdc57127f85c9c9a044689333971628#rd,1,南大港澳台交流
1741684914,项目推介 | 2025秋香港大学交流项目,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895419&idx=1&sn=339fe1cfab64a4113dab2e0e826595f7&chksm=84b8508eb3cfd99817377e5b740d8fbe566d0a6d68ff824c55070e72f6397892134104f96a94#rd,1,南大港澳台交流
1740318764,活动回顾｜南京大学2025年春季学期台港澳交换生迎新活动圆满举办,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895362&idx=1&sn=09837b8a7606ba8eda65c3cc2193457a&chksm=84b850b7b3cfd9a103213d873f2c8c43992bf95526004d1b4c977392f74be91bdcd0a8ed8ca1#rd,1,南大港澳台交流
1740318764,暑期项目 | 政治大学国际夏日学院课程,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895362&idx=2&sn=68b239dac7bf9a186e1dc1018ddd513c&chksm=84b850b7b3cfd9a19ff8449ba5816dffad0649cb7949f5ccebb32a1a7e5679330ecb5e4a5974#rd,1,南大港澳台交流
1740147473,暑期项目 | 2025澳门大学科技学院优秀大学生暑期研习营,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895239&idx=1&sn=75610798d59768d5d9ef1f0291d4332b&chksm=84b85732b3cfde24f57e965381819ba038e12d1017c7dd2e031ad199325d5823a7ac1caaf0dd#rd,1,南大港澳台交流
1740147473,暑期项目 | 2025东吴大学暑期研修班,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895239&idx=2&sn=1dfc7dc819300743e9a46226c62b9729&chksm=84b85732b3cfde2424de5d31c919b1e80a5ef9f4b80a93cd6a9f6aca4fda843e1fcb44b842a4#rd,1,南大港澳台交流
1740058514,项目推介｜2025香港大学暑期课程宣讲会,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895128&idx=1&sn=954c863d573998abed944f6921ce72cd&chksm=84b857adb3cfdebb3f8388220e2a7a41c5b245c894b9c150edd935f785195e6006618d23abfd#rd,1,南大港澳台交流
1740058514,暑期项目|香港中文大学国际暑期课程报名,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895128&idx=2&sn=174f7fd13313db80b8d017b6d44fe464&chksm=84b857adb3cfdebb6e0abf82d67a3afccc492172b163597b4377ec6b961874695c7413227c5b#rd,1,南大港澳台交流
1739973168,走进南大：香港大学经管学院硕士课程高校专场线下宣讲会,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650895001&idx=1&sn=709e528ec1391b4838fc1bb124b00130&chksm=84b8562cb3cfdf3a73fa71a8a813d887691ed2e63210b782ba830dd4a114085a846e018c7f31#rd,1,南大港澳台交流
1739856641,暑期项目｜2025香港理工大学暑期课程报名,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650894994&idx=1&sn=6cf898e4bc1b3ac4713aeef7582ea0b8&chksm=84b85627b3cfdf314402f8bdeb21ec4999f3f853c9829ec5a9bfd5adf403df79973d4d683aca#rd,1,南大港澳台交流
1736738359,招新 | 2025年春季台港澳学伴团招新啦！,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650894851&idx=1&sn=e7f80a25ac6890441d3658392aa18460&chksm=84b856b6b3cfdfa0c8d94a5891c9ee47f1b5551c9d84ab7e3d9f90ca8e01ac2eda8186b988ae#rd,1,南大港澳台交流
1736153639,活动回顾 | 2024年秋季学期南京大学台港澳交换生欢送会圆满举办,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650894818&idx=1&sn=a108efa8f1581b0dcb16e78f45be2f46&chksm=84b85557b3cfdc4104c5dadce659e09e92d979f41c0923ad8ebdd7d270d0e5bc81b6e7d66d22#rd,1,南大港澳台交流
1735550564,活动回顾 | 茶肆·“同心逐梦 奋进南雍”——2024年南京大学台港澳青年迎新晚会圆满落幕,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650894717&idx=1&sn=ad3ce2f72f5c16c44cde36751c70f651&chksm=84b855c8b3cfdcdef610d93f4d4bc450cb1222b975e19a5937f61de2bb6f10007490d29f6905#rd,1,南大港澳台交流
1735284647,活动回顾 | 茶肆·“同心逐梦 奋进南雍”——2024年南京大学台港澳青年迎新晚会圆满落幕,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650894600&idx=1&sn=42424f33c20be4eb9ddb546e61a2298f&chksm=84b855bdb3cfdcabd3bbf9a9a0f9eb4afd7d5a868e57ff9ac6c669b6bdb4822de1cf0f652af6#rd,1,南大港澳台交流
1734749133,就在今天｜晚上见！“同心逐梦 奋进南雍”茶肆·2024台港澳青年迎新晚会期待你的到来,http://mp.weixin.qq.com/s?__biz=MzA3NzczMTI5MA==&mid=2650894540&idx=1&sn=4ff35c8fd0727fea84e763fe29076c9a&chksm=84b85479b3cfdd6f695712327fea093fb37e9970c79b37c9b68d60b214b9ecb6b0d6921306dc#rd,1,南大港澳台交流
