时间,标题,链接,标签,公众号
1748512006,熊熊速览｜社团活动回顾（5.19-5.25）,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540854&idx=1&sn=a0c6fd85b42c87c9e9e54df8317d60d8&chksm=9793ee8da0e4679b1230437c1f78c853bc7ab6e07a5f09241bfe2d01c1bfeddb15da5fe787b1#rd,1,南大社团
1748512006,浪花激扬，挥洒青春！南京大学第三届水上趣味运动会圆满落幕,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540854&idx=2&sn=0743da268bc8019713032c9a9324b9b4&chksm=9793ee8da0e4679b1e1f3f1c49e0d03fea90b35135b1ec94492b0f8269878fef7b0937e5480a#rd,1,南大社团
1748423375,微光成炬：天健社的双向温暖与薪火传承,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540800&idx=1&sn=1f0e741daa2853b59c535b686497a194&chksm=9793eebba0e467add4dbb5773840f63af8df3407b69df1c2cc91fc53b0c0801209e862e5b5ba#rd,1,南大社团
1748423375,社团展播台|长歌行配音社：“旧时光”九周年庆|倒计时5天演出预告,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540800&idx=2&sn=7b468e8477edc7fa6bdda8fe85602286&chksm=9793eebba0e467ad690fad32612ececa02165008bd0182de9b6e2bfb1bcbc510b7d56e748eb8#rd,1,南大社团
1748311771,百廿三载风华颂 星光璀璨映南雍 | 南京大学123周年校庆星光集市暨社团巡礼月音乐晚会圆满落幕,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540782&idx=1&sn=6b17a214a31e50263e2f3625e854e962&chksm=9793eed5a0e467c3b33e0db065480e7040b443de66f53125b6e4b1c7d90ea696c12fe58b270b#rd,1,南大社团
1748274477,熊熊快报 | 第十五周社团活动,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540780&idx=1&sn=e8bf638e57217bf1f4b5dfe3930f93e9&chksm=9793eed7a0e467c104e486e6cd0a32d6ff49268d4b6a2fed95baef6131bf81905dc3ac346567#rd,1,南大社团
1748180326,招协：以志愿之名，赴南星之约,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540575&idx=1&sn=ea50b861f14604a9578df8459e4ee8d6&chksm=979391a4a0e418b219eb4740d552d3897b9c31eb023f2cc364d29701c6e40221f1e18b15317a#rd,1,南大社团
1748087735,知行社：以法律为舟，以公益为帆，知行合一启新程,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540546&idx=1&sn=d459b022bc665c823820caceb330c94e&chksm=979391b9a0e418affda060ca74e7d296ef2aa296816879b3d270e682378c077bdd052df9c9c8#rd,0,南大社团
1748006393,倒计时一天！123周年校庆星光集市暨社团巡礼月晚会节目单抢先看,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540519&idx=1&sn=ebdf06fe36bc54fcb4b5357ac246e01c&chksm=979391dca0e418ca74c523fba977d909ecc847da15e4cdeff15fcd7b4aff515d41913203a35a#rd,0,南大社团
1747909334,熊熊速览｜社团活动回顾（5.6-5.18）,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540490&idx=1&sn=82735f3358405f733108be4005efac28&chksm=979391f1a0e418e7bca44efc9df6fa9d1625a716397956d2e9bdca48a6577f401e976289095b#rd,0,南大社团
1747909334,社团展播台 | 南初印社：活动回顾 | 承南雍雅韵·刻方寸千年——南初印社与校团委“美育文化月”活动圆满成功,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540490&idx=2&sn=56f65c866ce149dd388a0543ec6c1440&chksm=979391f1a0e418e7601af3ce1f462d5266bf20823d2c552b78ee28576956d5ccad72d477ac3a#rd,0,南大社团
1747819880,倒计时三天 | 校庆星光集市暨社团巡礼月晚会将至，多种福利等你来！,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540314&idx=1&sn=6425b17af24a5330fd656ad5c5b750d5&chksm=979390a1a0e419b71a6a50bd903115d542c013480d2e77637103b67621b6a052f5cfc42013c4#rd,0,南大社团
1747819880,报名 | 浪花跃动青春，碧波激扬奋进——南京大学第三届水上趣味运动会等你来参加！,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540314&idx=2&sn=f31fd95720e83f5719aefcd0aa4211ee&chksm=979390a1a0e419b755f21962a5319d6a81176ccfd79e1d4a52adb75cc1afee53649a9325852f#rd,0,南大社团
1747741216,倒计时4天！123周年校庆星光集市暨社团巡礼月晚会摊位剧透来袭,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247540167&idx=1&sn=ca62e2be7e9828ae20736f8442625190&chksm=9793933ca0e41a2a790c3224f5094496351b41642781258a7939d31bfbdca720ec0671865547#rd,0,南大社团
1747494757,2024-2025学年苏州校区社团工作交流会成功举办,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247539916&idx=1&sn=2900fe7178c844e52c3a0c37d6f574f9&chksm=97939237a0e41b21edc6f52c8098de4bb95f9002f75e3bda5b0336fab7ff7a7d9fbade10bb9c#rd,0,南大社团
1747385536,社团展播台 ｜Passion街舞社十九周年专场就在今晚！请查收入场指南～,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247539857&idx=1&sn=4625835c13ef24b1a897cfb8c518c148&chksm=9793926aa0e41b7ce19a4aa3e8da1b5c576a27e03a9dcc24f8678aa069d31342ccd2d3d303d6#rd,0,南大社团
1747313624,守望环保：南京大学学生环境协会的绿色之心,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247539836&idx=1&sn=f5dfd1dc2e9e005fcfa7aea31a3b6c64&chksm=97939287a0e41b916a7d9cf1f52bd2db93d067216a3eea91235ec7c455ac96f9478e6b85afb8#rd,0,南大社团
