时间,标题,链接,标签,公众号
1749005030,讲座预告｜清代山东地方文献中的俗文学,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489215&idx=1&sn=8e15b65078f7ffe46e32d893839ffe30&chksm=eba4ad10dcd32406a7d412350acd094558b3639a8a9137109117e7d802a360acc96f6ef8870a#rd,1,南大高研院
1748934300,讲座预告｜革命与家庭：白区党员家庭关系的演化,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489209&idx=1&sn=74a0cc575397398133a27145c662dca0&chksm=eba4ad16dcd32400236dac8a272d459b4ec2c229c2a85b74ab73442a6f81cbb7a9fcaad1a1b6#rd,1,南大高研院
1748876770,活动预告｜高研院仙林学术午餐会 戴宇辰副教授：#Acclerationism：埃隆·马斯克与加速主义思潮,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489201&idx=1&sn=41f418ae9253cf76e82968aa9d8f97cf&chksm=eba4ad1edcd32408e32c98322233bd4bed101e9ef1cba9ea9749b0db64f5f7c927377ac2e2f1#rd,0,南大高研院
1748682291,活动回顾｜高研院新生午餐会第六十场 耿柳娜教授：AI与心理学：当机器学会“读心术”,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489194&idx=1&sn=a46dd8d27906edfb6f88f0b162898f25&chksm=eba4ad05dcd324139d4d31ea33fe76e39634291dd2a3c6eb747c5f8814dee884e96b723dad8b#rd,0,南大高研院
1748454733,活动预告|“媒介本体论：何以可能何以可为”学术工作坊,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489183&idx=1&sn=9695fac5467b1bccd0f53a91d4256b39&chksm=eba4ad30dcd3242645a06e8612cf1b5f00b6261518043bab201013570c15c63638d27845fa19#rd,0,南大高研院
1748307045,活动预告｜高研院新生午餐会第六十场 耿柳娜教授：AI与心理学：当机器学会“读心术”,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489166&idx=1&sn=e158cd0da498cd3f5571227967ba6aaa&chksm=eba4ad21dcd32437e5fa63a73f66d8e7576d98867aeb2921717f4f6cb66e431489ac4c8fc8a6#rd,0,南大高研院
1748238332,活动预告｜高研院仙林学术午餐会 陈腾博士：物质技术视阈下的晚清士人游宦与书籍流通,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489156&idx=1&sn=ac32cdacd17004e3ea5686d26c8f857a&chksm=eba4ad2bdcd3243d4313e7f28c78517d8fc5bc73a47eac988743cd2f30b4cde75f418297bf25#rd,0,南大高研院
1748147398,活动回顾｜ 高研院新生午餐会第五十九场 王辰瑶教授：我们为什么要重视信息健康,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489149&idx=1&sn=41a0df0ac4005cf97b2e5cc1fe51324d&chksm=eba4add2dcd324c4dfd8d0162b5e5ebb0cb77699c8e38f49e0ecd31e299b07608ad51813b3c9#rd,0,南大高研院
1747788615,活动预告｜高研院新生午餐会第五十九场 王辰瑶教授：我们为什么要重视信息健康,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489137&idx=1&sn=6987757e9da0a6fa3a267de88cd213ad&chksm=eba4addedcd324c89d8d1a13a5ff35dbafdb0a3474021bf66cd7c6b520357669f3b473cbbdeb#rd,0,南大高研院
1747708568,第五十二场新生午餐会特别策划：教授请吃饭第二季,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489127&idx=1&sn=c536df734027b065ea4acf5d1c50d9d6&chksm=eba4adc8dcd324de9844e4cc4e4c70edc78417b366867e3861e2b65b8a7099387a65be709f3e#rd,0,南大高研院
1747626669,活动预告｜高研院仙林学术午餐会 金健特聘研究员：老年人照护的国家保护义务,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489090&idx=1&sn=97c83dbcb6ad6029b9326c6c4e65bdac&chksm=eba4adeddcd324fbf6f100fc36882387b19455c78ea2de2b67e7f9d4db159fa20d7883ed0330#rd,0,南大高研院
1747304048,活动回顾 ｜高研院新生午餐会第五十八场 彭增军教授：从事故到故事：新闻与文学的相生相克,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489083&idx=1&sn=ad359a8a0f61c7f34d7501b0a1fa3fb0&chksm=eba4ad94dcd32482af28cc71e1fe7efc0bfc5330ff2dc777c38217975f720b8b2214c584122d#rd,0,南大高研院
1747191332,讲座预告｜王国维与罗振玉——儒家石经学的创建与成立,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489073&idx=1&sn=b8493029214cd7623ee4b114d99d1ded&chksm=eba4ad9edcd32488685c78ecc4182181c5a59c08a2e6542eec25191a4aa23ef59ce3c7cf16f3#rd,0,南大高研院
1747191332,会议预告 | 中国与东亚古典学的推演暨《图说汉籍传播史：汉字文化圈的基层》工作坊,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489073&idx=2&sn=2d949859cf66a4ae80e9bf2bf8f36adc&chksm=eba4ad9edcd324888337f73f93512d23bf4c9350b2112d6aa93f6f1eae2e2c2c5bc948a5c91a#rd,0,南大高研院
1747128273,会议预告｜全球化时代的身份认同——多元视角与多学科对话,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489058&idx=1&sn=1a9689feece32a51d6ebb75cdc686cd4&chksm=eba4ad8ddcd3249b773039556c2ebec372800a2aa22b8ccee01fabe8eb28d060e6977fea6b95#rd,0,南大高研院
1747029869,活动预告｜高研院仙林学术午餐会 康亚飞博士：生产新知识：西方博物馆对异国事物的转译,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489051&idx=1&sn=a7df2afff9a4f74ca8cad735f7f87e93&chksm=eba4adb4dcd324a2645ed2dd1c00778a6ea654efca1fac59139fc2ca802677a3f429914788db#rd,0,南大高研院
1746970200,活动预告 高研院新生午餐会第五十八场 彭增军教授：从事故到故事：新闻与文学的相生相克,http://mp.weixin.qq.com/s?__biz=MzI4MTY1MjkyOA==&mid=2247489044&idx=1&sn=e2d155eaba4e5caa4bf3143a59661099&chksm=eba4adbbdcd324ada46dd9a8409a9ca6a0224da8f07ddf8cb7474ff7f73d0bb27caaa38d9f5a#rd,0,南大高研院
