时间,标题,链接,标签,公众号
1748412371,活动预告｜青年学术科创日：AI赋能挑战，智绘梦想园等你来！,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247502046&idx=1&sn=477a02e17bf9b002a00c6903c1337af8&chksm=eb985cdadcefd5ccd8b52a068586f4a2d538892ada323fbad578f56708a397176705edd2a367#rd,0,南青科创
1747985618,查收这份你期待的“挑战杯”培训视频！（十二）,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247502017&idx=1&sn=c6cde2e0428e6aaca2d9c2d711f92c55&chksm=eb985cc5dcefd5d33e19999dd8791dbd2242d0422838fff9a5b8c8494403f5996449adb8e637#rd,0,南青科创
1747887265,从0到1，寻找你的“引力子”,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247502012&idx=1&sn=cfcd603a427cada4bcd41ef644da0e3e&chksm=eb985cb8dcefd5ae136bd101b1c2b1f9888f055c65a442637eefe03ccf1fcc06a9c1d47569dd#rd,0,南青科创
1747745646,关于开展“挑战杯-国创赛”金奖项目夏令营江苏专场宣讲活动的通知,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247502007&idx=1&sn=7404044fb30f1f967134724e74eef66e&chksm=eb985cb3dcefd5a5683f2c5add5118c96808ad1972f698ffd45fb6047b6bf2e72bbdaa3f2a40#rd,0,南青科创
1747456505,这张“英雄榜” 等你来揭！2025年度中国青年科技创新“揭榜挂帅”擂台赛重磅来袭！,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247502002&idx=1&sn=dc9f23c82d0a2da8c38c3ab590d66ec4&chksm=eb985cb6dcefd5a09494c2a119d4cc2a7018b956eedda3cd8eb4bdd3017429b21047fda42fac#rd,0,南青科创
1747285700,等你来战！第十九届“挑战杯”竞赛“人工智能+”专项赛发布,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501996&idx=1&sn=e02e3e6b310239f5d9f55ed763968a45&chksm=eb985ca8dcefd5beca8dcbe569e5c1b3ac9d7412d108f9cfa7ae3075a89dfaf71550d6b56c4f#rd,0,南青科创
1747204072,查收这份你期待的“挑战杯”培训视频！（十一）,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501991&idx=1&sn=7b5455af5b48c2d7fe20b8a7738eae66&chksm=eb985ca3dcefd5b5f23739cef2ac3c0a2177d93ca71960a07c7113ddda8db4f73d9d2f0781c9#rd,0,南青科创
1747150185,查收这份你期待的“挑战杯”培训视频！（十）,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501986&idx=1&sn=2298d7d58fe98a8c9f3abccae6feb1ca&chksm=eb985ca6dcefd5b0b2cb0a2daae83d80ee80ebdc23f05a32fcde086cff6fc93e34ed8d681590#rd,0,南青科创
1746767847,征创令丨第十九届“挑战杯”中国移动全国大学生课外学术科技作品竞赛会徽、吉祥物征集开始！,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501981&idx=1&sn=c9e4cd67269feb2fbd19c4f62f8b1757&chksm=eb985c99dcefd58f6a2630b7eeb0b92137e5e9536735e9461a33271cc3c744c8499114bcb465#rd,0,南青科创
1746678077,查收这份你期待的“挑战杯”培训视频！（九）,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501979&idx=1&sn=7ec21c54924525a66378eee91fe9bd0f&chksm=eb985c9fdcefd58917dcd89040c108b7063e956a8b8e3483e5bf6ec41c32f580ff73f554a640#rd,0,南青科创
